num,State,latitude_x,longitude_x,name,latitude_y,longitude_y
1487,Arizona,32.691281,-114.623948,Del Taco,34.048928,-111.093731
1421,Arizona,32.398868,-110.956718,Burger King,34.048928,-111.093731
1415,Arizona,33.638127,-112.332204,Burger King,34.048928,-111.093731
1411,Arizona,33.612761,-111.926225,Burger King,34.048928,-111.093731
1498,Arizona,33.454904,-112.340964,Del Taco,34.048928,-111.093731
2037,Arizona,33.752474,-111.992502,McDonald's,34.048928,-111.093731
1832,Arizona,33.376815,-111.688373,Arby's,34.048928,-111.093731
1834,Arizona,33.600633,-111.980157,Arby's,34.048928,-111.093731
2036,Arizona,33.581495,-112.133607,McDonald's,34.048928,-111.093731
2035,Arizona,33.640785,-112.066068,McDonald's,34.048928,-111.093731
2034,Arizona,33.422931,-112.222937,McDonald's,34.048928,-111.093731
2033,Arizona,33.494692,-112.237305,McDonald's,34.048928,-111.093731
2032,Arizona,33.480693,-111.985721,McDonald's,34.048928,-111.093731
